Source,Name,Min salary,Max salary,Currency,Link
HH.ru,Разработчик Delphi,90000.0,140000.0,руб.,https://hh.ru/vacancy/39527228?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL Oracle,,,,https://hh.ru/vacancy/39261914?query=oracle%20pl/sql
HH.ru,Разработчик C#,,,,https://hh.ru/vacancy/37511803?query=oracle%20pl/sql
HH.ru,Разработчик ETL,,,,https://hh.ru/vacancy/39614283?query=oracle%20pl/sql
HH.ru,"ETL - разработчик (Hadoop, Oracle)",,,,https://hh.ru/vacancy/39658751?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL,,,,https://hh.ru/vacancy/38779067?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL,,,,https://hh.ru/vacancy/38825459?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL,,,,https://hh.ru/vacancy/39327236?query=oracle%20pl/sql
HH.ru,Программист Oracle,110000.0,,руб.,https://hh.ru/vacancy/39334924?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/38839127?query=oracle%20pl/sql
HH.ru,Специалист по разработке баз данных (разработчик БД),100000.0,,руб.,https://hh.ru/vacancy/39082007?query=oracle%20pl/sql
HH.ru,Программист-разработчик PL\SQL (АБС ЦФТ),,,,https://hh.ru/vacancy/39487130?query=oracle%20pl/sql
HH.ru,Специалист по информационным системам,75000.0,,руб.,https://hh.ru/vacancy/39571844?query=oracle%20pl/sql
HH.ru,Аналитик PL/SQL,,,,https://hh.ru/vacancy/39306125?query=oracle%20pl/sql
HH.ru,Разработчик баз данных,,,,https://hh.ru/vacancy/39570642?query=oracle%20pl/sql
HH.ru,Ведущий разработчик PL/SQL / Бухгалтерия,,,,https://hh.ru/vacancy/38446587?query=oracle%20pl/sql
HH.ru,Oracle DBA,,,,https://hh.ru/vacancy/39372087?query=oracle%20pl/sql
HH.ru,Разработчик Oracle BPM,,,,https://hh.ru/vacancy/33742050?query=oracle%20pl/sql
HH.ru,Программист-разработчик (Oracle/Java),,,,https://hh.ru/vacancy/34381338?query=oracle%20pl/sql
HH.ru,Аналитик SQL/ Главный специалист,,,,https://hh.ru/vacancy/39281132?query=oracle%20pl/sql
HH.ru,Разработчик,,,,https://hh.ru/vacancy/39575974?query=oracle%20pl/sql
HH.ru,Разработчик ЦФТ,,,,https://hh.ru/vacancy/39585670?query=oracle%20pl/sql
HH.ru,Старший разработчик Oracle,,,,https://hh.ru/vacancy/38871177?query=oracle%20pl/sql
HH.ru,DBA / Администратор баз данных,,,,https://hh.ru/vacancy/39571909?query=oracle%20pl/sql
HH.ru,Разработчик DWH и BI (Oracle),,,,https://hh.ru/vacancy/39483527?query=oracle%20pl/sql
HH.ru,Главный разработчик баз данных и хранилища,,,,https://hh.ru/vacancy/39515650?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/39327293?query=oracle%20pl/sql
HH.ru,Java разработчик,,,,https://hh.ru/vacancy/38866444?query=oracle%20pl/sql
HH.ru,Младший разработчик Oracle,,,,https://hh.ru/vacancy/38729749?query=oracle%20pl/sql
HH.ru,Ведущий консультант Oracle (казначейство),,,,https://hh.ru/vacancy/39363734?query=oracle%20pl/sql
HH.ru,Ведущий администратор Oracle,,,,https://hh.ru/vacancy/39412341?query=oracle%20pl/sql
HH.ru,Системный аналитик (Way4),,,,https://hh.ru/vacancy/38952005?query=oracle%20pl/sql
HH.ru,Разработчик ЦФТ,,,,https://hh.ru/vacancy/38393337?query=oracle%20pl/sql
HH.ru,Разработчик Oracle BI (м.Выставочная),,150000.0,руб.,https://hh.ru/vacancy/39412912?query=oracle%20pl/sql
